OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,PARK_ID,REGION,OS_ID,F_100ftRule,ZipCode,ParcelNumber,YearAcquired,ShapeSTArea,ShapeSTLength
233,M Street Beach,Commonwealth of Massachusetts,A97,2,South Boston,4.40304053, ,Open Space District,"Parkways, Reservations & Beaches",DCR,NULL,X,X,,,,INFO_Reallocation From Dept,3038,YES,02127,,0,191783.841848216,4674.62315425432
234,Stonehill Park,City of Boston,A97,3,Hyde Park,0.36558742,25 Stonehill Road,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Coast Guard Park,BPRD,295,PARK_Maintenance_Region 4,295,YES,02136,"1812281050,1812281060,1812281040",0,15923.8786478925,555.378646556026
235,Strandway/Castle Island,Commonwealth of Massachusetts,A97,2,South Boston,47.70344233, ,Open Space District,"Parkways, Reservations & Beaches",DCR,NULL,X,X,"Fort Independence; Pleasure Ba",,,INFO_Reallocation From Dept,3039,YES,02127,,0,2077825.68904517,24033.1949897555
236,Marine Park,Commonwealth of Massachusetts,A97,2,South Boston,17.20141724, ,Open Space District,"Parkways, Reservations & Beaches",DCR,NULL,X,X,,,,INFO_Reallocation From Dept,3040,YES,02127,,0,749244.500726751,5430.67588225652
237,UMass Harborwalk,Commonwealth of Massachusetts,Ch91/WPA,2,Dorchester,13.08638195, ,Institutional District,"Parkways, Reservations & Beaches",NULL,NULL,N,X,,,,INFO_Reallocation From Dept,4006,YES,02125,,0,570006.395141179,10017.6926556833
238,Malibu Beach,Commonwealth of Massachusetts,A97,2,Dorchester,26.11969713, ,Open Space District,"Parkways, Reservations & Beaches",DCR,NULL,X,X,,,,INFO_Reallocation From Dept,3041,YES,02125,,0,1137697.53569413,13699.2963763907
239,Victory Road Park,Commonwealth of Massachusetts,A97,2,Dorchester,6.15518826, ,Open Space District,"Parkways, Reservations & Beaches",DCR,NULL,X,X,,,,INFO_Reallocation From Dept,3042,YES,02122,,0,268101.644142861,3019.54856983225
240,Parkman Memorial,City of Boston,A97/GPOD,3,Jamaica Plain,6.71026098,330 Perkins Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,,BPRD,228,PARK_Maintenance_Region 3,228,YES,02130,1902186000,0,292279.329450588,4863.35864675095
241,West Roxbury High School Marsh,City of Boston,WPA,7,West Roxbury,21.48685572, ,Institutional District,Open Land,NULL,NULL,N,X,,,,INFO_Reallocation From Dept,2031,YES,02132,,0,935902.919000565,4677.88003526599
242,West Roxbury Parkway,Commonwealth of Massachusetts,A97,2,West Roxbury,31.76358405, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR,NULL,X,X,,,,INFO_Reallocation From Dept,3043,YES,"02132, 02131, 02467","2006247000,2003642000,2003911000,2001600000,2004192000,2000676000",0,1383526.1621353,36091.2450098856
243,Florida Street Reservation,City of Boston,A97,1,Dorchester,0.06797622,"Center Median, btwn King & Lonsdale Streets",Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,,BPRD,339,INFO_Reallocation From Dept,339,YES,"02124, 02122",ROW,0,2960.83959914229,1034.55225682719
244,Tenean Beach,Commonwealth of Massachusetts,A97/ACEC,2,Dorchester,8.70228873, ,Open Space District,"Parkways, Reservations & Beaches",DCR,NULL,X,X,,,,INFO_Reallocation From Dept,3044,YES,02122,,0,379045.422049369,4132.54359154658
245,Cedar Grove Cemetery,Private,,4,Dorchester,54.18516548, ,Residential District,Cemeteries & Burying Grounds,Private,NULL,N,,,,,INFO_Reallocation From Dept,7058,NO,02124,,0,2360139.46413056,11721.6740599385
246,Martini Playground,Commonwealth of Massachusetts,A97/LWCF/WPA,2,Hyde Park,5.78045491, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR,NULL,X,X,,,,INFO_Reallocation From Dept,3045,YES,02136,,0,251779.205885025,4772.21357217859
247,Reservation Road Park,City of Boston,A97/LWCF/WPA,3,Hyde Park,9.32832139,151 Reservation Road,Industrial District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Mother Brook II,BPRD,256,PARK_Maintenance_Region 4,256,YES,02136,"1812162000,1812161000",0,406309.25470832,4770.62201733251
